solute_smiles,solvent_smiles
CC1(C)COP(=O)(NCCNP2(=O)OCC(C)(C)CO2)OC1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
IC(I)I,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
COC1=C(NC2=CC(C)=C(C=C2N(=O)=O)N(=O)=O)C=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CO\N=C(\C(=O)OC)C1=C(CO\N=C(/C)C2=CC(=CC=C2)C(F)(F)F)C=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
C1C2CC3CC1CC(C2)C3,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12CCC(=O)[C@@]1(C)CCC1=C3C=CC(O)=CC3=CC=C21,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O[C@@H]1CCCC[C@H]1O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)\C2=C(/O)C1=CC=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C(N=N#N)C1=CC=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCCCCCCCCCCCCCCCCCCCCCC,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=N(=O)C1=CC=C(C2=C1C=CC=C2N(=O)=O)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
